date,reviewCreatedVersion,total_complaints,app_complaints,TFI,TFI_MA_7D
2026-04-21,9.1.0,102,17.0,16.666666666666664,16.666666666666664
2026-04-23,9.1.0,88,18.0,20.454545454545457,18.560606060606062
2026-04-24,9.1.0,100,17.0,17.0,18.04040404040404
2026-04-25,9.1.0,60,15.0,25.0,19.78030303030303
2026-04-26,9.1.0,91,13.0,14.285714285714285,18.681385281385282
2026-04-27,9.1.0,48,6.0,12.5,17.6511544011544
2026-04-21,9.2.0,256,63.0,24.609375,24.609375
2026-04-22,9.2.0,162,43.0,26.543209876543212,25.576292438271608
2026-04-23,9.2.0,185,35.0,18.91891891891892,23.35716793182071
2026-04-24,9.2.0,207,55.0,26.570048309178745,24.16038802616022
2026-04-25,9.2.0,155,41.0,26.451612903225808,24.618633001573336
2026-04-26,9.2.0,208,56.0,26.923076923076923,25.0027069884906
2026-04-27,9.2.0,160,40.0,25.0,25.002320275849087
2026-04-28,9.2.0,137,37.0,27.00729927007299,25.344880885859514
2026-04-29,9.2.0,105,24.0,22.857142857142858,24.818299883088034
2026-04-30,9.2.0,129,36.0,27.906976744186046,26.10230814384048
2026-05-01,9.2.0,119,28.0,23.52941176470588,25.66793149463007
2026-05-02,9.2.0,105,25.0,23.809523809523807,25.290490195529788
2026-05-03,9.2.0,121,24.0,19.834710743801654,24.277866455633323
2026-05-04,9.2.0,110,20.0,18.181818181818183,23.303840481607345
2026-05-05,9.2.0,128,37.0,28.90625,23.575119157311203
2026-05-06,9.2.0,174,26.0,14.942528735632186,22.444459997095397
2026-05-07,9.2.0,216,29.0,13.425925925925927,20.375738451629665
2026-05-08,9.2.0,210,33.0,15.714285714285714,19.259291872998208
2026-05-09,9.2.0,179,32.0,17.877094972067038,18.411802039075813
2026-05-10,9.2.0,194,30.0,15.463917525773196,17.78740300792889
2026-05-11,9.2.0,180,24.0,13.333333333333334,17.0947623152882
2026-05-12,9.2.0,185,15.0,8.108108108108109,14.123599187875072
2026-05-13,9.2.0,240,55.0,22.916666666666664,15.262761749451426
2026-05-14,9.2.0,216,43.0,19.90740740740741,16.188687675377352
2026-05-15,9.2.0,213,33.0,15.492957746478872,16.157069394262088
2026-05-16,9.2.0,245,43.0,17.551020408163264,16.110487313704404
2026-05-17,9.2.0,311,52.0,16.720257234726688,16.289964414983476
2026-05-18,9.2.0,236,46.0,19.491525423728813,17.16970614218283
2026-05-19,9.2.0,221,40.0,18.099547511312217,18.597054628354844
2026-05-20,9.2.0,220,44.0,20.0,18.18038796168818
2026-05-21,9.2.0,229,43.0,18.777292576419214,18.018942985832727
2026-05-22,9.2.0,192,21.0,10.9375,17.368163307764313
2026-05-23,9.2.0,168,29.0,17.261904761904763,17.326861072584528
2026-05-24,9.2.0,152,29.0,19.078947368421055,17.663816805969436
2026-05-25,9.2.0,159,23.0,14.465408805031446,16.945800146155527
2026-05-26,9.2.0,88,14.0,15.909090909090908,16.632877774409625
2026-05-27,9.2.0,80,13.0,16.25,16.09716348869534
2026-05-28,9.2.0,66,12.0,18.181818181818183,16.01209571803805
2026-05-29,9.2.0,57,9.0,15.789473684210526,16.70523481578241
2026-05-30,9.2.0,55,9.0,16.363636363636363,16.576910758886925
2026-05-31,9.2.0,36,10.0,27.77777777777778,17.819600817366457
2026-06-01,9.2.0,41,3.0,7.317073170731707,16.798410012466494
2026-06-03,9.2.0,34,6.0,17.647058823529413,17.046691143100567
2026-05-08,9.2.1,34,4.0,11.76470588235294,11.76470588235294
2026-05-12,9.2.1,34,3.0,8.823529411764707,10.294117647058822
2026-05-14,9.2.1,35,6.0,17.142857142857142,12.57703081232493
2026-05-17,9.2.1,35,8.0,22.857142857142858,15.147058823529413
2026-05-18,9.2.1,37,8.0,21.62162162162162,16.441971383147852
2026-05-19,9.2.1,46,10.0,21.73913043478261,17.324831225086978
2026-05-20,9.2.1,56,7.0,12.5,16.635569621503127
2026-05-22,9.2.1,95,14.0,14.736842105263156,17.0601605104903
2026-05-23,9.2.1,109,21.0,19.26605504587156,18.551949886791277
2026-05-24,9.2.1,116,30.0,25.862068965517242,19.79755157574272
2026-05-25,9.2.1,153,30.0,19.607843137254903,19.333365901473012
2026-05-26,9.2.1,252,55.0,21.825396825396826,19.36247664486947
2026-05-27,9.2.1,231,51.0,22.07792207792208,19.41087545103225
2026-05-28,9.2.1,254,54.0,21.25984251968504,20.66228152527297
2026-05-29,9.2.1,260,52.0,20.0,21.41416122452109
2026-05-30,9.2.1,256,62.0,24.21875,22.12168907511087
2026-05-31,9.2.1,291,70.0,24.054982817869416,21.863533911161177
2026-06-01,9.2.1,304,80.0,26.31578947368421,22.82181195922251
2026-06-02,9.2.1,294,62.0,21.08843537414966,22.71653175190149
2026-06-03,9.2.1,240,52.0,21.666666666666668,22.657780978865
2026-06-04,9.2.1,263,63.0,23.954372623574145,23.04271385084916
2026-06-05,9.2.1,275,45.0,16.363636363636363,22.523233331368637
2026-06-06,9.2.1,205,35.0,17.073170731707318,21.502436293041114
2026-06-07,9.2.1,252,45.0,17.857142857142858,20.61703058436589
2026-06-08,9.2.1,280,62.0,22.142857142857142,20.020897394247736
2026-06-09,9.2.1,279,58.0,20.78853046594982,19.978053835933476
2026-06-10,9.2.1,265,53.0,20.0,19.739958597838235
2026-06-11,9.2.1,265,46.0,17.358490566037734,18.79768973247589
2026-06-12,9.2.1,297,47.0,15.824915824915825,18.720729655515814
2026-06-13,9.2.1,259,50.0,19.305019305019304,19.039565165988954
2026-06-14,9.2.1,243,45.0,18.51851851851852,19.134047403328335
2026-06-15,9.2.1,286,62.0,21.678321678321677,19.067685194108982
2026-06-16,9.2.1,274,61.0,22.26277372262774,19.2782913736344
2026-06-17,9.2.1,294,59.0,20.068027210884352,19.28800954661788
2026-06-18,9.2.1,302,70.0,23.178807947019866,20.119483458186753
2026-06-19,9.2.1,295,56.0,18.983050847457626,20.570645604264154
2026-06-20,9.2.1,305,74.0,24.262295081967213,21.278827858113857
2026-06-21,9.2.1,282,57.0,20.212765957446805,21.52086320653218
2026-06-22,9.2.1,276,47.0,17.02898550724638,20.85667232495
2026-06-23,9.2.1,289,64.0,22.145328719723185,20.839894467392206
2026-06-24,9.2.1,288,48.0,16.666666666666664,20.353985818218245
2026-06-25,9.2.1,286,62.0,21.678321678321677,20.13963063697565
2026-06-26,9.2.1,301,72.0,23.920265780730897,20.84494705601469
2026-06-27,9.2.1,274,46.0,16.78832116788321,19.77723649685983
2026-06-28,9.2.1,240,45.0,18.75,19.56826993151029
2026-06-29,9.2.1,108,26.0,24.074074074074073,20.574711155342815
